id,type,amount,category,note,date,account,images
sample_41,expense,717000,Di chuyển,Giao dịch mẫu,2026-04-15,Ví điện tử,
sample_42,expense,754000,Mua sắm,Giao dịch mẫu,2026-04-14,Tiền mặt,
sample_43,expense,791000,Nhà cửa,Giao dịch mẫu,2026-04-13,Ngân hàng,
sample_44,expense,828000,Giải trí,Giao dịch mẫu,2026-04-12,Ví điện tử,
sample_45,income,18000000,Lương,Lương tháng,2026-04-11,Tiền mặt,
sample_46,expense,52000,Di chuyển,Giao dịch mẫu,2026-04-10,Ngân hàng,
sample_47,expense,89000,Mua sắm,Giao dịch mẫu,2026-04-09,Ví điện tử,
sample_48,expense,126000,Nhà cửa,Giao dịch mẫu,2026-04-08,Tiền mặt,
sample_49,expense,163000,Giải trí,Giao dịch mẫu,2026-04-07,Ngân hàng,
sample_50,expense,200000,Ăn uống,Giao dịch mẫu,2026-04-06,Ví điện tử,
sample_51,expense,237000,Di chuyển,Giao dịch mẫu,2026-04-05,Tiền mặt,
sample_52,expense,274000,Mua sắm,Giao dịch mẫu,2026-04-04,Ngân hàng,
sample_53,expense,311000,Nhà cửa,Giao dịch mẫu,2026-04-03,Ví điện tử,
sample_54,income,1200000,Đầu tư,Thu nhập đầu tư,2026-04-02,Tiền mặt,
sample_55,expense,385000,Ăn uống,Giao dịch mẫu,2026-04-01,Ngân hàng,
sample_56,expense,422000,Di chuyển,Giao dịch mẫu,2026-03-31,Ví điện tử,
sample_57,expense,459000,Mua sắm,Giao dịch mẫu,2026-03-30,Tiền mặt,
sample_58,expense,496000,Nhà cửa,Giao dịch mẫu,2026-03-29,Ngân hàng,
sample_59,expense,533000,Giải trí,Giao dịch mẫu,2026-03-28,Ví điện tử,
sample_60,income,18000000,Lương,Lương tháng,2026-03-27,Tiền mặt,
sample_61,expense,607000,Di chuyển,Giao dịch mẫu,2026-03-26,Ngân hàng,
sample_62,expense,644000,Mua sắm,Giao dịch mẫu,2026-03-25,Ví điện tử,
sample_63,income,1200000,Đầu tư,Thu nhập đầu tư,2026-03-24,Tiền mặt,
sample_64,expense,718000,Giải trí,Giao dịch mẫu,2026-03-23,Ngân hàng,
sample_65,expense,755000,Ăn uống,Giao dịch mẫu,2026-03-22,Ví điện tử,
sample_66,expense,792000,Di chuyển,Giao dịch mẫu,2026-03-21,Tiền mặt,
sample_67,expense,829000,Mua sắm,Giao dịch mẫu,2026-03-20,Ngân hàng,
sample_68,expense,866000,Nhà cửa,Giao dịch mẫu,2026-03-19,Ví điện tử,
sample_69,expense,53000,Giải trí,Giao dịch mẫu,2026-03-18,Tiền mặt,
sample_70,expense,90000,Ăn uống,Giao dịch mẫu,2026-03-17,Ngân hàng,
sample_71,expense,127000,Di chuyển,Giao dịch mẫu,2026-03-16,Ví điện tử,
sample_72,income,1200000,Đầu tư,Thu nhập đầu tư,2026-03-15,Tiền mặt,
sample_73,expense,201000,Nhà cửa,Giao dịch mẫu,2026-03-14,Ngân hàng,
sample_74,expense,238000,Giải trí,Giao dịch mẫu,2026-03-13,Ví điện tử,
sample_75,income,18000000,Lương,Lương tháng,2026-03-12,Tiền mặt,
sample_76,expense,312000,Di chuyển,Giao dịch mẫu,2026-03-11,Ngân hàng,
sample_77,expense,349000,Mua sắm,Giao dịch mẫu,2026-03-10,Ví điện tử,
sample_78,expense,386000,Nhà cửa,Giao dịch mẫu,2026-03-09,Tiền mặt,
sample_79,expense,423000,Giải trí,Giao dịch mẫu,2026-03-08,Ngân hàng,
sample_80,expense,460000,Ăn uống,Giao dịch mẫu,2026-03-07,Ví điện tử,
sample_81,income,1200000,Đầu tư,Thu nhập đầu tư,2026-03-06,Tiền mặt,
sample_82,expense,534000,Mua sắm,Giao dịch mẫu,2026-03-05,Ngân hàng,
sample_83,expense,571000,Nhà cửa,Giao dịch mẫu,2026-03-04,Ví điện tử,
sample_84,expense,608000,Giải trí,Giao dịch mẫu,2026-03-03,Tiền mặt,
sample_85,expense,645000,Ăn uống,Giao dịch mẫu,2026-03-02,Ngân hàng,
sample_86,expense,682000,Di chuyển,Giao dịch mẫu,2026-03-01,Ví điện tử,
sample_87,expense,719000,Mua sắm,Giao dịch mẫu,2026-02-28,Tiền mặt,
sample_88,expense,756000,Nhà cửa,Giao dịch mẫu,2026-02-27,Ngân hàng,
sample_89,expense,793000,Giải trí,Giao dịch mẫu,2026-02-26,Ví điện tử,
sample_90,income,18000000,Lương,Lương tháng,2026-02-25,Tiền mặt,
sample_91,expense,867000,Di chuyển,Giao dịch mẫu,2026-02-24,Ngân hàng,
sample_92,expense,54000,Mua sắm,Giao dịch mẫu,2026-02-23,Ví điện tử,
sample_93,expense,91000,Nhà cửa,Giao dịch mẫu,2026-02-22,Tiền mặt,
sample_94,expense,128000,Giải trí,Giao dịch mẫu,2026-02-21,Ngân hàng,
sample_95,expense,165000,Ăn uống,Giao dịch mẫu,2026-02-20,Ví điện tử,
sample_96,expense,202000,Di chuyển,Giao dịch mẫu,2026-02-19,Tiền mặt,
sample_97,expense,239000,Mua sắm,Giao dịch mẫu,2026-02-18,Ngân hàng,
sample_98,expense,276000,Nhà cửa,Giao dịch mẫu,2026-02-17,Ví điện tử,
sample_99,income,1200000,Đầu tư,Thu nhập đầu tư,2026-02-16,Tiền mặt,
